#{"t_start": 1776070049.9258964, "env_id": "highway-v0"}
r,l,t
20.693182,30,6077.744436
20.454545,30,6087.269024
20.573864,30,6096.862189
20.53988,30,6106.498551
20.8125,30,6116.007633
20.454545,30,6125.428646
20.53988,30,6134.810851
20.454545,30,6144.281429
20.571645,30,6153.829827
20.53988,30,6163.302526
20.454545,30,6172.836022
20.653391,30,6182.310068
20.539857,30,6191.769645
20.744557,30,6201.382457
20.454545,30,6210.831125
20.454545,30,6220.373264
12.272727,19,6226.392526
20.573864,30,6235.897725
20.738754,30,6245.391113
21.136472,30,6254.96339
20.738727,30,6264.421338
20.454545,30,6273.937619
20.454545,30,6283.446585
20.53988,30,6292.870286
20.573864,30,6302.382411
20.771752,30,6311.928148
4.090909,7,6314.160793
20.53988,30,6323.657544
20.651123,30,6333.216565
20.573864,30,6342.841707
1.054395,2,6343.503518
20.54005,30,6352.979985
20.86388,30,6362.470392
20.653391,30,6371.96174
20.976229,30,6381.431632
20.454545,30,6390.916175
20.454545,30,6400.497116
20.573864,30,6409.991743
20.53988,30,6419.538692
20.454545,30,6428.920489
20.454545,30,6438.412085
20.657127,30,6447.967083
20.454545,30,6457.386474
20.54005,30,6466.905999
20.53988,30,6476.341546
20.53988,30,6485.817763
20.53988,30,6496.072543
20.53988,30,6505.59224
12.358062,19,6511.651524
20.454545,30,6521.262033
20.454545,30,6530.732579
20.573864,30,6540.356136
14.520616,22,6547.351993
20.454545,30,6556.784378
21.010371,30,6566.276155
20.454545,30,6575.754215
20.53988,30,6585.146952
20.539909,30,6594.698116
20.659199,30,6604.087176
20.454545,30,6613.736853
20.454545,30,6623.226559
20.454545,30,6632.652421
20.454545,30,6642.165687
20.571645,30,6651.630378
20.573864,30,6661.017737
20.573864,30,6670.497482
20.53988,30,6679.981742
20.739888,30,6689.468959
6.222691,10,6692.665771
20.53988,30,6702.29118
18.494426,28,6711.154638
20.53988,30,6720.65127
20.573864,30,6730.094177
6.136364,10,6733.260139
20.690946,30,6742.733514
21.050112,30,6752.27232
20.454545,30,6761.780602
20.744538,30,6771.31709
20.653391,30,6780.85087
10.346591,16,6785.932257
20.770491,30,6795.457408
20.454545,30,6804.967094
20.653391,30,6814.523968
20.653391,30,6824.003831
20.738726,30,6833.466231
20.693182,30,6842.963891
20.454545,30,6852.509107
20.65698,30,6862.088554
20.53988,30,6871.547333
20.653369,30,6880.975971
20.454545,30,6890.422407
20.53988,30,6900.063899
20.744673,30,6909.591583
20.454545,30,6919.109472
20.659198,30,6928.626067
20.693182,30,6938.100525
20.571645,30,6947.593363
20.573864,30,6956.996701
20.454545,30,6966.396122
20.53988,30,6975.809729
21.086551,30,6985.213952
7.249874,11,6988.744548
20.454545,30,6998.342983
20.454545,30,7007.762222
20.53988,30,7017.082953
20.651176,30,7026.544418
21.287551,30,7035.921532
20.53988,30,7045.371076
20.776298,30,7054.937699
20.625215,30,7064.390157
20.573864,30,7073.936255
10.312612,16,7079.044647
20.454545,30,7088.505394
20.454545,30,7097.9427
7.5,12,7101.757447
20.689116,30,7111.345079
20.53988,30,7120.856773
20.454545,30,7130.37126
20.824226,30,7140.599954
20.770676,30,7150.165764
3.926288,6,7152.08284
20.454545,30,7161.596145
20.573864,30,7171.123777
20.54005,30,7180.619876
20.828876,30,7190.240455
20.53988,30,7199.741792
20.454545,30,7209.214574
20.454545,30,7218.701171
20.779509,30,7228.167724
20.454545,30,7237.648561
2.727273,5,7239.278487
20.660191,30,7248.871674
12.389827,19,7254.915194
20.625384,30,7264.360772
20.454545,30,7273.909912
20.454545,30,7283.485989
20.53988,30,7292.991354
20.571645,30,7302.475011
20.454545,30,7311.905847
20.53988,30,7321.308212
20.573864,30,7330.751005
20.77462,30,7340.31812
20.454545,30,7349.771774
20.454545,30,7359.242584
20.454545,30,7368.721303
20.573864,30,7378.205551
20.454545,30,7387.611035
20.771653,30,7397.135765
20.454545,30,7406.647263
21.082891,30,7416.179393
20.454545,30,7425.659252
20.53988,30,7435.093064
20.53988,30,7444.664587
20.65698,30,7454.204407
20.571645,30,7463.807967
20.454545,30,7473.294815
20.539885,30,7482.721239
20.8125,30,7492.222121
20.53988,30,7501.723369
20.454545,30,7511.212832
20.929583,30,7520.661229
7.591142,12,7524.488433
20.454545,30,7534.12277
20.653391,30,7543.613728
20.53988,30,7553.305767
20.454545,30,7562.907776
20.53988,30,7572.421283
20.653391,30,7581.904581
20.53988,30,7591.284058
